WORD	AOA	CNC	FAM	IMG	KFFRQ	NLET	NPHN	NSYL
ACRE	411	462	427	464	9	4	3	2	
ACT	319	379	566	433	283	3	3	1	
ADDER	356	615	361	583	-	5	3	2	
ADVICE	425	291	566	352	51	6	5	2	
AERIAL	428	517	481	567	8	6	5	2	
ALLY	446	485	410	453	9	4	3	2	
AMOUNT	392	335	583	316	172	6	5	2	
ANGEL	242	399	470	554	18	5	5	2	
ANKLE	264	608	543	613	8	5	4	2	
ANSWER	294	397	605	368	152	6	4	2	
APPEAL	431	333	514	402	62	6	4	2	
APPLE	211	620	598	637	9	5	3	2	
ARCH	367	512	483	557	13	4	3	1	
AREA	392	384	560	394	323	4	3	2	
ARMOUR	400	591	406	536	2	6	3	2	
ARMY	317	543	555	578	132	4	3	2	
AUNT	233	564	554	567	22	4	3	1	
AUTHOR	414	502	554	460	46	6	3	2	
AUTUMN	278	421	533	622	22	6	4	2	
AXE	311	623	461	597	6	3	3	1	
BABE	303	562	370	562	8	4	3	1	
BACK	225	540	587	483	967	4	3	1	
BAG	217	603	634	570	42	3	3	1	
BALL	150	615	575	622	110	4	3	1	
BAND	236	590	555	579	53	4	4	1	
BANKER	392	547	524	565	5	6	5	2	
BARN	289	614	466	589	29	4	3	1	
BARON	472	513	339	498	2	5	5	2	
BARREL	319	590	487	602	24	6	5	2	
BASE	369	441	520	436	91	4	3	1	
BASIN	250	602	504	542	7	5	4	2	
BATH	172	600	599	601	26	4	3	1	
BEAM	394	502	476	539	21	4	3	1	
BEAST	319	564	456	558	7	5	4	1	
BEAUTY	344	336	561	513	71	6	5	2	
BED	169	635	636	635	127	3	3	1	
BEGGAR	364	533	435	593	2	6	4	2	
BELIEF	447	270	554	328	64	6	5	2	
BENCH	311	614	488	555	35	5	5	1	
BERRY	289	573	470	551	9	5	4	2	
BET	364	403	527	453	20	3	3	1	
BID	425	364	473	394	22	3	3	1	
BILL	406	528	552	535	143	4	3	1	
BIN	192	598	580	562	9	3	3	1	
BIRD	206	602	592	614	31	4	3	1	
BIRTH	328	471	527	532	66	5	3	1	
BITE	214	509	593	553	10	4	3	1	
BLADE	344	584	517	568	13	5	4	1	
BLAME	328	293	541	356	34	5	4	1	
BLOCK	244	558	544	483	66	5	4	1	
BLOOD	253	613	571	620	121	5	4	1	
BLOOM	403	520	426	524	12	5	4	1	
BLUSH	378	465	535	551	2	5	4	1	
BOAST	378	295	491	416	8	5	4	1	
BODY	267	568	610	614	276	4	4	2	
BOLT	369	556	466	551	10	4	4	1	
BOND	491	403	454	380	46	4	4	1	
BOOK	214	609	643	591	193	4	3	1	
BOOT	251	595	566	604	13	4	3	1	
BORDER	417	444	489	453	20	6	4	2	
BOSOM	489	552	425	593	8	5	5	2	
BOTHER	322	267	583	369	22	6	4	2	
BOWL	256	575	557	579	23	4	3	1	
BOX	192	597	599	591	70	3	4	1	
BRAIN	347	556	580	572	45	5	4	1	
BRANCH	303	583	529	548	33	6	6	1	
BRASS	414	577	469	524	19	5	4	1	
BRAWL	494	456	418	485	1	5	4	1	
BREATH	331	479	572	480	53	6	4	1	
BREEZE	351	500	511	560	14	6	4	1	
BRICK	261	610	529	574	18	5	4	1	
BRIDGE	289	623	561	608	98	6	4	1	
BRIM	394	509	430	510	4	4	4	1	
BROOK	375	611	384	597	3	5	4	1	
BRUSH	214	589	579	570	44	5	4	1	
BUBBLE	272	563	508	604	12	6	4	2	
BUD	331	549	465	508	9	3	3	1	
BUDGET	497	366	517	394	59	6	5	2	
BUNCH	317	452	503	486	17	5	5	1	
BURDEN	474	391	446	499	44	6	4	2	
BUREAU	461	547	395	497	43	6	5	2	
BURIAL	446	477	400	544	11	6	6	2	
BURN	217	490	548	541	15	4	3	1	
BUSH	256	585	532	549	14	4	3	1	
BUTTER	206	618	615	603	27	6	4	2	
BUTTON	192	613	573	580	10	6	4	2	
CAGE	300	593	487	585	9	4	3	1	
CAKE	214	624	594	624	13	4	3	1	
CALL	225	389	599	424	188	4	3	1	
CAMP	308	571	541	588	75	4	4	1	
CANAL	350	598	464	588	3	5	5	2	
CANOE	394	623	441	602	7	5	4	2	
CART	258	576	454	597	5	4	3	1	
CASE	311	548	553	517	362	4	3	1	
CASTOR	453	535	365	429	2	6	5	2	
CATTLE	261	600	511	619	97	6	4	2	
CAUSE	408	287	557	282	130	5	3	1	
CAVERN	433	534	400	548	1	6	5	2	
CEDAR	425	608	381	516	1	5	4	2	
CELLAR	361	572	467	572	26	6	4	2	
CENT	433	544	473	518	158	4	4	1	
CHAIN	311	595	513	559	50	5	4	1	
CHAPEL	361	587	471	560	20	6	6	2	
CHARM	456	352	514	455	26	5	4	1	
CHEEK	267	565	533	561	20	5	4	1	
CHERRY	317	611	514	582	6	6	5	2	
CHINK	458	462	393	429	-	5	5	1	
CHOP	317	555	487	575	3	4	4	1	
CHURCH	278	587	560	616	348	6	5	1	
CIDER	431	626	507	626	2	5	4	2	
CIRCLE	214	515	581	591	60	6	4	2	
CLAIM	417	331	525	321	98	5	4	1	
CLASH	422	399	488	456	5	5	4	1	
CLASP	392	498	441	456	-	5	5	1	
CLAY	358	606	455	575	100	4	3	1	
CLEVER	333	313	515	378	17	6	5	2	
CLIFF	322	591	479	599	11	5	4	1	
CLINK	392	456	382	472	-	5	5	1	
CLOSE	283	391	587	420	234	5	4	1	
CLOVE	500	565	395	446	1	5	4	1	
COACH	314	561	509	560	24	5	4	1	
COAL	278	584	513	581	32	4	3	1	
COAT	197	601	610	572	43	4	3	1	
COCK	314	611	434	586	5	4	3	1	
COFFEE	292	613	625	618	78	6	4	2	
COLD	183	457	626	531	171	4	4	1	
COLUMN	436	520	519	491	71	6	5	2	
CONE	275	573	506	559	13	4	3	1	
COPPER	428	547	491	548	13	6	4	2	
CORAL	434	572	425	561	5	5	5	2	
COTTON	306	608	521	562	38	6	4	2	
COUSIN	278	502	515	478	51	6	4	2	
COVER	289	502	597	443	88	5	4	2	
CRAB	292	626	433	589	-	4	4	1	
CRAFT	422	464	487	429	23	5	5	1	
CRANE	350	606	428	562	5	5	4	1	
CREW	366	523	442	486	36	4	3	1	
CRIME	383	387	537	471	34	5	4	1	
CROOK	374	520	467	526	3	5	4	1	
CROW	308	590	490	578	2	4	3	1	
CRUSH	339	381	480	480	4	5	4	1	
CUBE	383	530	502	575	1	4	4	1	
CURE	350	352	526	397	28	4	3	1	
CURSE	450	363	484	415	11	5	3	1	
CURVE	364	447	521	520	45	5	3	1	
DAD	125	603	646	626	15	3	3	1	
DAIRY	331	565	467	537	19	5	4	2	
DAMAGE	358	406	558	443	33	6	5	2	
DAMSEL	406	544	292	551	1	6	6	2	
DANGER	300	338	557	505	70	6	5	2	
DART	392	608	496	597	-	4	3	1	
DATE	314	514	613	501	103	4	3	1	
DAWN	350	501	507	586	28	4	3	1	
DEAL	381	342	522	383	142	4	3	1	
DECK	347	566	507	539	23	4	3	1	
DELL	472	513	244	397	5	4	3	1	
DENT	361	517	480	486	2	4	4	1	
